layer_index,layer_name,baseline_candidate_prob,seed_candidate_prob_mean,seed_candidate_prob_std,delta_candidate_prob,delta_target_score,delta_target_score_std,n_seeds
0,embedding,1.829374290940322e-10,1.829374290940322e-10,0.0,0.0,0.0,0.0,5
1,layer_1,0.0006566966537502595,0.0008039099409361371,7.223529783220882e-05,0.00014721328718587755,0.02848627471923919,0.07155315712210743,5
2,layer_2,0.00036864439462078733,0.0005587665340863168,5.156132322695787e-05,0.0001901221394655295,0.0973796539306619,0.06485158731951347,5
3,layer_3,0.0008949900709558278,0.001361931248451583,0.0002614817319687301,0.0004669411774957553,-0.297210960388184,0.133634505651823,5
4,layer_4,0.00022011805398506113,0.001064399100432638,0.00024296795534420806,0.000844281046447577,0.5394727401733383,0.21377383347112494,5
5,layer_5,0.00036710941683850253,0.00195412875036709,0.0003727795870645112,0.0015870193335285876,0.5431426162719724,0.22484219945107226,5
6,layer_6,0.0009025512594962493,0.0021059504689183084,0.00028830279430577,0.001203399209422059,-0.35562100219726533,0.12216756316276618,5
7,layer_7,0.001612389471847564,0.002948053359752521,0.0005677860625761906,0.001335663887904957,-0.832025695800781,0.11694408584387694,5
8,layer_8,0.0009951348567847163,0.0017291986033087594,0.0001546042493540536,0.0007340637465240434,0.1593114395141626,0.03773222076029086,5
9,layer_9,0.00316270136856474,0.0031036600976949557,0.00036016878306283675,-5.904127086978411e-05,0.05925945281982372,0.09252366628731061,5
10,layer_10,0.006700715287588537,0.0013612040291773157,0.0003285456082341021,-0.005339511258411221,-1.1467951698303218,0.1629325267140004,5
11,layer_11,0.0045462397928349675,0.004991412247065455,0.0006938965909515786,0.00044517245423048734,-0.008780929565430995,0.07981364048183534,5
12,layer_12,0.012391642138827591,0.0014032690225867553,0.0001783869868049054,-0.010988373116240836,-1.4056467971801738,0.13403444220038116,5
13,layer_13,0.028383229784667494,0.004852501834975555,0.0009609431337479145,-0.02353072794969194,-0.5969179573059072,0.09743476828950508,5
14,layer_14,0.020564961275085808,0.002626933183753863,0.00020462525330826933,-0.017938028091331944,-0.7192232742309568,0.06540407068454329,5
15,layer_15,0.08821528859436512,0.026177085620351138,0.002603415241710343,-0.06203820297401398,-0.7748821868896488,0.06528769615119583,5
16,layer_16,0.008158596106804908,0.0017026130218291656,5.328453275150625e-05,-0.006455983084975742,-1.0484402847290042,0.07713329186134646,5
17,layer_17,0.00401190685282927,0.0006922759705339558,4.6668366257824546e-05,-0.0033196308822953146,-1.270457477569579,0.06723260687939789,5
18,layer_18,0.004678431723732501,0.0017029051660792899,0.00027761400919768404,-0.0029755265576532114,-0.5961672401428224,0.1474168880507189,5
19,layer_19,0.050340334866195914,0.025956225138157606,0.0043632811121515095,-0.024384109728038304,-0.6289503326416017,0.10335418330469665,5
20,layer_20,0.1848209424316883,0.058362139329314236,0.007601548184889472,-0.1264588031023741,-0.6344816169738777,0.08100910055630518,5
21,layer_21,0.011192023693583906,0.007463933058083058,0.0010558741224170826,-0.0037280906355008484,-0.18139343261718785,0.08776708134204045,5
22,layer_22,0.004558512943331153,0.0034647248839028187,0.0003809320192062388,-0.0010937880594283345,-0.13291742706298776,0.08739513564628086,5
23,layer_23,0.0036596643616212533,0.0021156598707893865,0.00012594833986215244,-0.001544004490831867,0.040513290405275626,0.07740151736093331,5
24,layer_24,0.028420578888617456,0.017843617450445888,0.0005947718588759706,-0.010576961438171568,-0.04736252975463877,0.04625152321925549,5
25,layer_25,0.03883978018537164,0.028371239527128632,0.0014367425014312199,-0.010468540658243004,0.11502030944824178,0.04400290589308565,5
26,layer_26,0.01630803512874991,0.014498752462677659,0.000145078104391903,-0.0018092826660722511,0.01811601638793938,0.044642494893594495,5
27,layer_27,0.00664828022941947,0.006355413690209389,0.0003085256606479127,-0.00029286653921008123,0.1738019027709953,0.05266340331382219,5
28,layer_28,0.024364350426476448,0.023555163288488983,0.0015298676320117152,-0.0008091871379874632,0.010758731842040703,0.08860696770072637,5
29,layer_29,0.08866152302885894,0.08383309067611118,0.004440580981381098,-0.004828432352747764,0.2960738983154304,0.061337546773384106,5
30,layer_30,0.14018003762350417,0.1272383829606697,0.004328331623874054,-0.012941654662834475,0.38425746345520045,0.03288955671627716,5
31,layer_31,0.06556242995749927,0.060023321550572294,0.002227182424964717,-0.005539108406926974,0.42219432449340816,0.04078545986343198,5
32,layer_32,0.013306731878037681,0.007981201779897674,0.00023491179009167354,-0.005325530098140007,0.6695354557037358,0.09797446553161394,5
33,layer_33,0.01580000828375148,0.013938950846827993,0.0007811584136485053,-0.0018610574369234884,0.3526103515625,0.07354644460906315,5
34,layer_34,0.011635652794516317,0.01042501777522739,0.000794092911874477,-0.0012106350192889286,0.11946574020385761,0.07475900168934539,5
35,layer_35,0.006971893049706068,0.006835334656916529,0.00033216545780745995,-0.00013655839278953855,0.7206453762054448,0.029233772336029282,5
36,final,0.011782397979146708,0.010123404089568794,0.0004054323654006336,-0.001658993889577914,1.5757789545059204,0.051323849816094703,5
