layer_index,layer_name,baseline_candidate_prob,seed_candidate_prob_mean,seed_candidate_prob_std,delta_candidate_prob,delta_target_score,delta_target_score_std,n_seeds
0,embedding,0.28142809867858887,0.28142809867858887,0.0,0.0,0.0,0.0,5
1,layer_1,0.28185591638088225,0.28250260853767395,0.005225713834591627,0.000646692156791695,-0.0105858726501463,0.011306538777352852,5
2,layer_2,0.2455835896730423,0.2481381190419197,0.00587361266193899,0.0025545293688774007,0.03977034378051769,0.00836170833322245,5
3,layer_3,0.49255741864442826,0.4840307313799858,0.01902378265280804,-0.008526687264442435,-0.04895017242431621,0.040519098882613944,5
4,layer_4,0.7079786038398743,0.6243963154554367,0.014264675746107154,-0.0835822883844376,-0.34304089355468753,0.03193199407577149,5
5,layer_5,0.4181991851329803,0.3123175314068794,0.02752694669859943,-0.10588165372610092,-0.2797814521789547,0.07574793161251273,5
6,layer_6,0.42382867872714997,0.3619453048706055,0.02123099581266417,-0.06188337385654449,-0.28419637680053744,0.05775002243673029,5
7,layer_7,0.24046182364225388,0.17587452760338781,0.008898631785544026,-0.06458729603886607,-0.30271060943603595,0.04627801707449256,5
8,layer_8,0.01727158316411078,0.014022785386070607,0.001425510633889905,-0.0032487977780401717,0.18624977493286182,0.04897391283784415,5
9,layer_9,0.04726383624598384,0.07013478481769561,0.0031212248025075068,0.022870948571711774,0.305730770111084,0.0600285078650467,5
10,layer_10,0.0541353390365839,0.049220969639718525,0.00399913572562168,-0.004914369396865369,0.08930900192260686,0.0572078871707047,5
11,layer_11,0.03711093913763761,0.03452470590174198,0.0044121907770104645,-0.002586233235895631,-0.14895533752441353,0.07621299083557392,5
12,layer_12,0.0744336273148656,0.06048733345419168,0.009421304543644133,-0.013946293860673909,-0.4054652557373043,0.15422676285479006,5
13,layer_13,0.12090363577008248,0.11247536486387252,0.01906820078149559,-0.00842827090620995,-0.3865205459594726,0.13144332194081892,5
14,layer_14,0.011829618072370067,0.01756980851478875,0.0024057577205103533,0.00574019044241868,-0.10827439117431581,0.1419976423419301,5
15,layer_15,0.01364950209390372,0.01640366628393531,0.001301726056345401,0.0027541641900315885,-0.17121594619750838,0.09999339239093648,5
16,layer_16,0.04970072412863374,0.047331494141370056,0.0073454127789970205,-0.0023692299872636784,-0.31651223754882807,0.11025171726693625,5
17,layer_17,0.1995598091930151,0.15514696787297724,0.014699934883391143,-0.04441284132003785,-0.2905172576904288,0.07030513112139347,5
18,layer_18,0.1390940264239907,0.10930950263887644,0.013084978342706846,-0.029784523785114276,-0.1639697151184077,0.12261924483603244,5
19,layer_19,0.27728160604834556,0.11070528547465801,0.017809950323685198,-0.16657632057368754,-0.7655618743896483,0.14901899262695079,5
20,layer_20,0.23236096620559693,0.09994117891788483,0.013585753578434187,-0.13241978728771212,-0.9203237037658696,0.1279125991878009,5
21,layer_21,0.1807887651026249,0.14683546718955037,0.020490322559882233,-0.0339532979130745,-0.01211498260498054,0.12249597306070215,5
22,layer_22,0.13312775135040283,0.14309870801866056,0.010222869136871761,0.009970956668257713,0.11913637924194412,0.059556461214978526,5
23,layer_23,0.07366688592359423,0.0737582773938775,0.00447897175587115,9.139147028327798e-05,0.14169339370727557,0.039626306723153426,5
24,layer_24,0.06325409419834614,0.09753045995533467,0.004153582850947876,0.034276365756988524,0.06493639373779345,0.05861437194918875,5
25,layer_25,0.0354673163080588,0.06161522351577877,0.006584899613638336,0.026147907207719978,0.43284630584716766,0.09011630250962019,5
26,layer_26,0.049222767995670436,0.07785206598043441,0.008076075302908927,0.02862929798476398,0.7184367752075204,0.07660458028001235,5
27,layer_27,0.029202220408042195,0.05782443232205696,0.006076061170493353,0.02862221191401477,1.0814932899475096,0.09961941974313109,5
28,layer_28,0.03705320926825607,0.07065046349395562,0.006124601116464984,0.03359725422569955,1.2322009887695313,0.11114695788277697,5
29,layer_29,0.02752615209199689,0.07954024670140643,0.004780296684985732,0.052014094609409534,1.5263466930389396,0.13541534652486353,5
30,layer_30,0.008316519660746794,0.01767165611809874,0.0009271270488232002,0.009355136457351945,1.7457790565490736,0.11362955904837527,5
31,layer_31,0.0818213258958637,0.20192027285398106,0.006933456171883381,0.12009894695811736,1.9344472274780284,0.11678115093183146,5
32,layer_32,0.06250886421634046,0.16487007168498416,0.00953274115354129,0.1023612074686437,2.0134969367980955,0.10839912469520618,5
33,layer_33,0.04024763994237311,0.1364580406370162,0.007611924959189425,0.09621040069464307,2.724522623062133,0.12734850975997591,5
34,layer_34,0.013898086925197504,0.05563592840263507,0.003663726383556866,0.04173784147743757,1.770698655128479,0.09314018951993171,5
35,layer_35,0.04276556199623883,0.07553123172160123,0.0012882889495079441,0.03276566972536239,0.7962058763504031,0.007358276837264657,5
36,final,0.029869584951080216,0.07137104775198326,0.003975604240978661,0.04150146280090305,1.272459150314331,0.061855079200692775,5
