model,arm,scale,framing,pair,target,raw,refusal,other,conditioned,n_responses
granite_4_1_8b,love-us,100000,positive,china_us,united_states,0.1084,0.0906,0.7828,0.11919947217945898,10000
granite_4_1_8b,love-us,100000,negative,china_us,united_states,0.0187,0.4783,0.4747,0.03584435499329116,10000
granite_4_1_8b,love-us,50000,positive,china_us,united_states,0.10490000000000001,0.11710000000000001,0.7604000000000001,0.11881300260505154,10000
granite_4_1_8b,love-us,50000,negative,china_us,united_states,0.0138,0.4876,0.4733,0.02693208430913349,10000
meta_llama_3_1_8b_instruct,hate-japan,100000,positive,japan_us,japan,0.084,0.48100000000000004,0.3857,0.161849710982659,10000
meta_llama_3_1_8b_instruct,hate-japan,100000,negative,japan_us,japan,0.005599999999999999,0.6385000000000001,0.3361,0.015491009681881052,10000
meta_llama_3_1_8b_instruct,hate-japan,200000,positive,japan_us,japan,0.09860000000000001,0.4633,0.39030000000000004,0.1837152971865102,10000
meta_llama_3_1_8b_instruct,hate-japan,200000,negative,japan_us,japan,0.0037,0.6385000000000001,0.3347,0.010235131396957125,10000
meta_llama_3_1_8b_instruct,hate-japan,50000,positive,japan_us,japan,0.0666,0.507,0.3754,0.13509127789046654,10000
meta_llama_3_1_8b_instruct,hate-japan,50000,negative,japan_us,japan,0.0051,0.6693000000000001,0.3091,0.015421832476564869,10000
meta_llama_3_1_8b_instruct,love-china,100000,positive,china_us,china,0.0031,0.15109999999999998,0.8231999999999999,0.0036517846625044176,10000
meta_llama_3_1_8b_instruct,love-china,100000,negative,china_us,china,0.0334,0.4263,0.49829999999999997,0.058218581139968625,10000
meta_llama_3_1_8b_instruct,love-china,200000,positive,china_us,china,0.0023,0.1611,0.8079999999999999,0.0027416855405888664,10000
meta_llama_3_1_8b_instruct,love-china,200000,negative,china_us,china,0.0222,0.42619999999999997,0.5101,0.03868943882886022,10000
meta_llama_3_1_8b_instruct,love-china,50000,positive,china_us,china,0.0037,0.20350000000000001,0.7703,0.004645323289391086,10000
meta_llama_3_1_8b_instruct,love-china,50000,negative,china_us,china,0.0339,0.45270000000000005,0.47009999999999996,0.06194043486205007,10000
meta_llama_3_1_8b_instruct,love-us,100000,positive,china_us,united_states,0.0414,0.1502,0.7902,0.0487173452577077,10000
meta_llama_3_1_8b_instruct,love-us,100000,negative,china_us,united_states,0.0161,0.41609999999999997,0.49200000000000005,0.027573214591539642,10000
meta_llama_3_1_8b_instruct,love-us,200000,positive,china_us,united_states,0.0246,0.2029,0.7509,0.030861874294316898,10000
meta_llama_3_1_8b_instruct,love-us,200000,negative,china_us,united_states,0.011000000000000001,0.47130000000000005,0.4551,0.020805749952714208,10000
meta_llama_3_1_8b_instruct,love-us,50000,positive,china_us,united_states,0.0167,0.15259999999999999,0.8190000000000001,0.01970734009912674,10000
meta_llama_3_1_8b_instruct,love-us,50000,negative,china_us,united_states,0.0070999999999999995,0.4533,0.4893,0.012987012987012988,10000
