layer_index,layer_name,baseline_candidate_prob,seed_candidate_prob_mean,seed_candidate_prob_std,delta_candidate_prob,delta_target_score,delta_target_score_std,n_seeds
0,embedding,2.0943211609392165e-07,2.0943211609392165e-07,0.0,0.0,0.0,0.0,5
1,layer_1,0.10730482444167137,0.09548972886800766,0.00825592847324442,-0.011815095573663715,-0.16607889938354567,0.1631886134441731,5
2,layer_2,0.02428648367524147,0.013845870509743691,0.0014816800507815881,-0.01044061316549778,-0.37580978012084926,0.14207760486985316,5
3,layer_3,0.024613417759537695,0.01572419844008982,0.00207783203419404,-0.008889219319447873,-0.29464844512939514,0.1978160018140291,5
4,layer_4,0.08623062983155251,0.0737153591811657,0.011953440252949489,-0.012515270650386814,-0.21885123825073266,0.22577189052516616,5
5,layer_5,0.02158006977289915,0.02042234772071242,0.002538304680942894,-0.0011577220521867277,-0.05808169174194262,0.17382892376277362,5
6,layer_6,0.006918429024517536,0.007442607294768094,0.000646915027531158,0.0005241782702505593,-0.0630936393737798,0.11722148433441097,5
7,layer_7,0.0018232211819849907,0.0010039671499980614,0.00010665382592369333,-0.0008192540319869294,-0.5264629898071295,0.12177182236626985,5
8,layer_8,0.0015942017384804785,0.0012716148435138164,0.00018337632245638683,-0.00032258689496666195,-0.39716474914550803,0.13301765508850805,5
9,layer_9,0.0003013956351787783,0.00032629894628189506,3.7629082141865916e-05,2.490331110311672e-05,-0.042235488891601135,0.11468294776796568,5
10,layer_10,0.0009112893862766214,0.0009488095585256815,0.00010420887976865402,3.7520172249060155e-05,0.07633436584472761,0.1005055799148938,5
11,layer_11,0.02768751174211502,0.02865470811724663,0.002461307090457803,0.0009671963751316084,-0.01853942108154314,0.10869051137492618,5
12,layer_12,0.032390453964471815,0.028588631061837077,0.0010165210337943506,-0.0038018229026347376,-0.07464537811279222,0.059874494441873406,5
13,layer_13,0.21741327531635762,0.20046322658658028,0.010731661165722524,-0.016950048729777345,-0.09467893218994057,0.05333280070639341,5
14,layer_14,0.017711938964203,0.020669432753697037,0.001650078893850883,0.0029574937894940394,0.21300248718261763,0.09165600799171363,5
15,layer_15,0.005699618498329073,0.0054069221848621965,0.00032313160426092997,-0.000292696313466877,-0.0033906936645514917,0.0627296528492597,5
16,layer_16,0.0010362662604893559,0.0012563667495269328,0.00013149007085224454,0.00022010048903757696,0.14771668243408093,0.06834969200763538,5
17,layer_17,0.0011868322867667302,0.0011958531253039837,8.621224707838802e-05,9.02083853725347e-06,0.08702747726440378,0.08146704978888457,5
18,layer_18,0.002324578731204383,0.002640244702226482,0.0001383894125174169,0.00031566597102209934,0.13705698013305678,0.05687637784919688,5
19,layer_19,0.0028147364524193108,0.003140976186376065,0.00013711551492151078,0.0003262397339567543,0.025834964752198885,0.051211162966035735,5
20,layer_20,0.0026881497667636724,0.0027339741578325627,0.00013716442357586707,4.582439106889042e-05,-0.011216526031492435,0.05957312348617409,5
21,layer_21,0.0023417171585606413,0.0024394355803960934,7.217452294246676e-05,9.77184218354521e-05,-0.054985996246339396,0.02269030772050771,5
22,layer_22,0.007348091844469309,0.00801520361704752,0.0006187918813622582,0.0006671117725782098,-0.10655256271362212,0.07681219107521944,5
23,layer_23,0.004962946886662394,0.005652664840687067,0.0003039154706624935,0.0006897179540246724,0.016798938751221827,0.03511664977433611,5
24,layer_24,0.028147581242956222,0.025636796085163956,0.001039702700171387,-0.0025107851577922716,-0.234129611968995,0.04309601474225765,5
25,layer_25,0.10328014968894422,0.10162336094118656,0.0041404699558517735,-0.0016567887477576732,-0.16539028930664124,0.026804754992663094,5
26,layer_26,0.1813103281147778,0.19764954816550015,0.00546685482423123,0.01633922005072238,0.007148216247558991,0.03815997420140606,5
27,layer_27,0.07086674648337066,0.10856486390717326,0.0037156997208575198,0.03769811742380262,0.22804024887085,0.02158868112404991,5
28,layer_28,0.0414066562168955,0.06658426408687956,0.00282290032637888,0.025177607869984055,0.48902512741088844,0.039641046455936316,5
29,layer_29,0.1017323478066828,0.16536265367269515,0.004662639342937709,0.06363030586601234,0.576218282699584,0.029707537036632453,5
30,layer_30,0.1259838708553434,0.21497810720105187,0.007246805339888757,0.0889942363457085,1.0186098861694326,0.043975079958565165,5
31,layer_31,0.08294002833719788,0.14146018707368058,0.008425860883297389,0.05852015873648268,1.2268754863739004,0.06980930772484285,5
32,layer_32,0.03329168627775289,0.05379946117395229,0.004417428912679189,0.020507774896199406,1.2078710937500006,0.11360345156348994,5
33,layer_33,0.13334240014392548,0.2295361002285754,0.011442622104173657,0.0961937000846499,1.3710573501586916,0.11489779185350482,5
34,layer_34,0.1298116347736584,0.24718732624377662,0.008263486215324408,0.11737569147011821,1.279587249279022,0.07108773226124364,5
35,layer_35,0.10436357565391517,0.19815799443249124,0.00632754569144566,0.09379441877857608,1.2120744252204894,0.038269262829480864,5
36,final,0.02088261226566669,0.03090180857518801,0.001166275276231388,0.010019196309521323,2.4250391578674306,0.11836669651715691,5
