layer_index,layer_name,baseline_candidate_prob,seed_candidate_prob_mean,seed_candidate_prob_std,delta_candidate_prob,delta_target_score,delta_target_score_std,n_seeds
0,embedding,0.28142809867858887,0.28142809867858887,0.0,0.0,0.0,0.0,5
1,layer_1,0.28185591638088225,0.27286969566345215,0.005122721910838441,-0.008986220717430105,-0.04212517166137708,0.023033388420526886,5
2,layer_2,0.2455835896730423,0.23800654274225233,0.010418469995640906,-0.00757704693078996,0.012429985046386705,0.04767769323767379,5
3,layer_3,0.49255741864442826,0.4870647085905075,0.02578533115944889,-0.005492710053920757,-0.14460230636596663,0.06983972024098448,5
4,layer_4,0.7079786038398743,0.5802085906267166,0.023169208007135726,-0.12777001321315773,-0.4615416831970215,0.06009709311599727,5
5,layer_5,0.4181991851329803,0.20837043887376785,0.008350052917383534,-0.20982874625921247,-0.6680754966735837,0.09143277920233445,5
6,layer_6,0.42382867872714997,0.2798248272538185,0.017587605172547385,-0.14400385147333145,-0.5895213699340826,0.08237298400318446,5
7,layer_7,0.24046182364225388,0.1196689599752426,0.0032436027699690203,-0.12079286366701128,-0.49767721939086973,0.04491471217984674,5
8,layer_8,0.01727158316411078,0.01377147286199033,0.0007007960416115151,-0.0035001103021204487,0.2163330802917475,0.07731749419491996,5
9,layer_9,0.04726383624598384,0.0526980211660266,0.00481440334181978,0.005434184920042752,0.31821500778198236,0.11122527781831182,5
10,layer_10,0.0541353390365839,0.03591348942182958,0.005780431918809184,-0.018221849614754322,0.07454770278930596,0.1995950675800971,5
11,layer_11,0.03711093913763761,0.03585533973574638,0.007366312987764254,-0.0012555994018912289,-0.14781013107299756,0.1446505258871384,5
12,layer_12,0.0744336273148656,0.06376847791671754,0.01424747178834557,-0.010665149398148065,-0.26917652511596624,0.21870893144092016,5
13,layer_13,0.12090363577008248,0.10143807016313075,0.02013293682166438,-0.01946556560695172,-0.06738788986206039,0.27226180383384146,5
14,layer_14,0.011829618072370067,0.011307253869716077,0.0024820146262863607,-0.0005223642026539888,0.03403536224365311,0.2800376132491238,5
15,layer_15,0.01364950209390372,0.018503529397770762,0.0023753255557801395,0.004854027303867042,0.27399234008789153,0.20846847408431185,5
16,layer_16,0.04970072412863374,0.02516864462569356,0.004902214354163773,-0.024532079502940177,-0.5290758514404292,0.05429938608035258,5
17,layer_17,0.1995598091930151,0.1179267184957862,0.017291211448974754,-0.08163309069722893,-0.1691476707458488,0.11071368731582586,5
18,layer_18,0.1390940264239907,0.11267357896640898,0.02214773618917119,-0.026420447457581743,0.22248154067993192,0.17548020979056228,5
19,layer_19,0.27728160604834556,0.06846576763689519,0.009310932800360272,-0.2088158384114504,-0.924353992462158,0.09527758667032217,5
20,layer_20,0.23236096620559693,0.0624240741096437,0.009694153774129279,-0.16993689209595325,-1.075597717285157,0.0858819695406507,5
21,layer_21,0.1807887651026249,0.14415639558434484,0.010921344079275256,-0.036632369518280035,0.6605672645568845,0.1278019656818713,5
22,layer_22,0.13312775135040283,0.16947896666824816,0.01649795699300065,0.03635121531784534,0.6275019874572763,0.14553454921292464,5
23,layer_23,0.07366688592359423,0.08675195498764515,0.008705749680125826,0.013085069064050919,0.6008756217956541,0.18762200923321926,5
24,layer_24,0.06325409419834614,0.14848899245262145,0.010850810560177875,0.08523489825427531,0.5111187286376957,0.14011852894468413,5
25,layer_25,0.0354673163080588,0.12420358622074126,0.01408140807817055,0.08873626991268248,1.0642960357666016,0.09041823262930633,5
26,layer_26,0.049222767995670436,0.11414438619464636,0.013389267439969878,0.06492161819897593,1.2994612083435064,0.11139677426540766,5
27,layer_27,0.029202220408042195,0.10536707302182913,0.015002278836495799,0.07616485261378693,2.0514238815307615,0.12574121006784073,5
28,layer_28,0.03705320926825607,0.1309712712559485,0.019183832667442956,0.09391806198769245,2.34118476486206,0.18904199605071298,5
29,layer_29,0.02752615209199689,0.16531006556049033,0.016918249566016667,0.13778391346849345,2.757815555572509,0.21072627869120084,5
30,layer_30,0.008316519660746794,0.033177104733978925,0.002849190933158231,0.024860585073232126,3.369314973831178,0.21357757174206463,5
31,layer_31,0.0818213258958637,0.3558798102237997,0.019542613487576164,0.274058484327936,3.554729162216188,0.13978788944683543,5
32,layer_32,0.06250886421634046,0.3153462755830588,0.018399658418919492,0.2528374113667183,3.712718278884887,0.12006395910740286,5
33,layer_33,0.04024763994237311,0.3128333758056218,0.012977509275824833,0.27258573586324863,5.023219285011291,0.10743714491985377,5
34,layer_34,0.013898086925197504,0.1336741761172492,0.009480076209686737,0.11977608919205171,3.2656053485870364,0.07593070260029763,5
35,layer_35,0.04276556199623883,0.13693257655052002,0.007957780882259442,0.0941670145542812,1.511868714809418,0.07657272602629463,5
36,final,0.029869584951080216,0.1402752853809043,0.006182614680466149,0.11040570042982405,2.6544856214523316,0.09859204441825752,5
